"Player.id","Player.name","Team.ID","Team.Name","total_shots","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Offensive Action","Goal","Promising Action","From inside the Penalty Area","Deflected","Corner","Big Chance","Direct Free Kick","Headed Shot","Post","Other"
7407,"Yannick Ferreira Carrasco",428,"Belgium",5,5,3,2,1,1,3,0,0,0,3,4,1,0,0,0,0,0,0
7413,"Bernardo Mota Veiga De Carvalho E Silva",427,"Portugal",7,4,2,7,0,1,0,2,1,1,5,7,0,0,0,0,0,0,0
7437,"Adrien Rabiot",423,"France",2,0,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0
7449,"Robert Lewandowski",488,"Poland",4,0,0,2,2,0,1,4,0,0,2,2,0,0,0,0,1,0,0
7455,"Thomas Muller",11,"Germany",1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
7473,"Ruben Diogo Da Silva Neves",427,"Portugal",2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
7486,"Daniel Carvajal Ramos",2,"Spain",2,2,0,0,0,1,1,0,0,1,0,2,0,0,1,0,1,0,0
7487,"Toni Kroos",11,"Germany",3,2,1,0,3,1,3,1,0,0,0,0,1,0,0,1,0,0,0
7490,"Cristiano Ronaldo Dos Santos Aveiro",427,"Portugal",19,10,2,5,7,9,10,9,0,0,7,12,2,0,2,6,4,0,0
7569,"Aleksandar Mitrovic",467,"Serbia",8,2,0,0,0,2,6,6,0,0,5,8,1,0,2,0,2,1,0
7591,"Christian Eriksen",322,"Denmark",11,8,6,4,5,1,7,3,0,1,4,6,0,0,1,1,0,0,0
7617,"Antoine Griezmann",423,"France",11,6,1,8,6,4,1,5,0,0,1,5,3,0,2,1,2,0,0
7687,"Hakan Calhanoglu",579,"Turkiye",9,5,3,1,6,1,8,4,0,1,3,3,2,0,0,1,0,0,0
7723,"Olivier Giroud",423,"France",1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
