"Match.ID","Team.ID","Team.Name","Player.From.ID","Player.From.Name","Event.ID","Event.Description","Period.ID","Period.Description","Start.Minute","Start.Second","End.Minute","End.Second","Start.X","Start.Y","End.X","End.Y","Shot.On.Target","opponent.team.name","opponent.team.id","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Goal","Promising Action","From inside the Penalty Area","Deflected","Big Chance","Direct Free Kick","Headed Shot","Corner","Penalty","Post","Other"
131344,427,"Portugal",6345,"Bruno Miguel Borges Fernandes",5,"Shot",1,"1t",3,28,3,40,79.68,39.05,86.32,35.55,"True","Turkiye",579,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131344,427,"Portugal",6345,"Bruno Miguel Borges Fernandes",5,"Shot",1,"1t",23,41,23,53,90.52,25.54,105,41.74,"False","Turkiye",579,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
131344,427,"Portugal",6345,"Bruno Miguel Borges Fernandes",5,"Shot",1,"1t",34,40,34,52,93.34,47.88,105,40.37,"False","Turkiye",579,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
131344,427,"Portugal",6345,"Bruno Miguel Borges Fernandes",5,"Shot",2,"2t",10,7,10,19,97.28,32.52,105,34.12,"True","Turkiye",579,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
131344,427,"Portugal",7413,"Bernardo Mota Veiga De Carvalho E Silva",5,"Shot",1,"1t",20,55,21,7,95.5,36.3,105,37.57,"True","Turkiye",579,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
131344,427,"Portugal",7413,"Bernardo Mota Veiga De Carvalho E Silva",5,"Shot",2,"2t",44,32,44,44,93.71,30.36,96.06,31.36,"True","Turkiye",579,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
131344,427,"Portugal",7473,"Ruben Diogo Da Silva Neves",5,"Shot",2,"2t",49,36,49,48,78,44.52,105,30.82,"False","Turkiye",579,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
131344,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",1,5,1,17,91.93,45.06,102.42,35.67,"True","Turkiye",579,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
131344,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",7,29,7,41,98.17,32.22,105,22.93,"False","Turkiye",579,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
131344,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",35,57,36,9,88.29,24.87,105,37.94,"False","Turkiye",579,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
131344,579,"Turkiye",21439,"Yusuf Yazici",5,"Shot",2,"2t",7,46,7,58,80.2,47.51,102.28,34.29,"True","Portugal",427,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131344,579,"Turkiye",21439,"Yusuf Yazici",5,"Shot",2,"2t",14,38,14,50,85.4,21.23,87.25,24.01,"True","Portugal",427,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131344,579,"Turkiye",21550,"Orkun Kokcu",5,"Shot",1,"1t",31,28,31,40,92.75,42.91,96.85,42.1,"True","Portugal",427,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
131344,579,"Turkiye",21550,"Orkun Kokcu",5,"Shot",1,"1t",40,9,40,21,82.13,28.43,102.15,34.29,"True","Portugal",427,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131344,579,"Turkiye",26395,"Kerem Akturkoglu",5,"Shot",1,"1t",4,35,4,47,92.97,37.27,105,41.48,"False","Portugal",427,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
131344,579,"Turkiye",26395,"Kerem Akturkoglu",5,"Shot",1,"1t",30,13,30,25,95.2,23.31,102.55,32.51,"True","Portugal",427,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
131344,579,"Turkiye",31264,"Kenan Yildiz",5,"Shot",2,"2t",18,0,18,12,83.69,18.48,105,38.48,"False","Portugal",427,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
131344,579,"Turkiye",34287,"Arda Guler",5,"Shot",2,"2t",35,37,35,49,77.97,45.95,81.09,40.83,"True","Portugal",427,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131345,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",15,58,16,10,76.7,35.12,102.68,34,"True","Georgia",461,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
131345,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",1,"1t",34,7,34,19,97.68,22.83,98.71,24.93,"False","Georgia",461,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
131345,427,"Portugal",7490,"Cristiano Ronaldo Dos Santos Aveiro",5,"Shot",2,"2t",1,8,1,20,98.27,36.78,100.43,35.21,"False","Georgia",461,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
131345,427,"Portugal",11096,"Danilo Luis Helio Pereira",5,"Shot",2,"2t",1,38,1,50,101.58,29.95,105,29.69,"False","Georgia",461,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
131345,427,"Portugal",13033,"Nelson Cabral Semedo",5,"Shot",2,"2t",35,15,35,27,78.85,34.63,84.99,34.17,"True","Georgia",461,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",13315,"Diogo Jose' Teixeira Da Silva",5,"Shot",2,"2t",47,6,47,18,97.88,33.46,105,39.42,"False","Georgia",461,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
131345,427,"Portugal",15421,"Joao Maria Lobo Alves Palhares Costa Palhinha Goncalves",5,"Shot",1,"1t",22,12,22,24,80.12,20.88,102.28,34,"True","Georgia",461,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",15421,"Joao Maria Lobo Alves Palhares Costa Palhinha Goncalves",5,"Shot",1,"1t",42,50,43,2,82.85,35.71,105,39.77,"False","Georgia",461,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",16209,"Jose' Diogo Dalot Teixeira",5,"Shot",1,"1t",17,36,17,48,91.34,38.93,105,40.37,"False","Georgia",461,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
131345,427,"Portugal",16209,"Jose' Diogo Dalot Teixeira",5,"Shot",2,"2t",48,20,48,32,79.73,44.88,101.89,34,"True","Georgia",461,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",16515,"Joao Felix Sequeira",5,"Shot",1,"1t",29,50,30,2,84.12,46.83,105,38.99,"False","Georgia",461,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",16515,"Joao Felix Sequeira",5,"Shot",1,"1t",45,14,45,26,81.48,38.83,102.55,35.44,"True","Georgia",461,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",16515,"Joao Felix Sequeira",5,"Shot",2,"2t",46,43,46,55,86.95,45.46,87.11,43.82,"True","Georgia",461,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131345,427,"Portugal",18841,"Pedro Lomba Neto",5,"Shot",1,"1t",46,37,46,49,104.02,66.93,102.15,34.52,"True","Georgia",461,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
