Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,perdePalla,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,duelliAerei,duelliAerei_PERC,cross,traversoni,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,triFatta,triFatta_PERC,duelliAereiVinti,duelliAereiVinti_PERC,giochiPortiereRicevuti,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,tiroGolPiede,tiroGolPiede_PERC,parataPiede,parataPiede_PERC,traversoniRiusciti,traversoniRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,ammonizioni
59253,LEO,SAUER,SAUER L.,16-12-2005,131360,10,,,,,,,2,1,50.00%,1,50.00%,,,,,,,4,,,,1,,,,,,2,1,50.00%,1,100.00%,,,,,,,,,,0.000,0.000,0.264,0.000,0.264,0.000,0.000,0.000,475,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26390,IVAN,SCHRANZ,SCHRANZ I.,13-09-1993,131360,87,3,3,100.00%,2,66.67%,,32,3,9.38%,29,90.63%,1,33.33%,5,13.16%,1,20.00%,38,1,2.63%,,9,1,1,100.00%,,,11,5,45.45%,6,120.00%,5,45.45%,2,40.00%,2,66.67%,2,,,0.371,0.610,0.422,0.000,0.436,0.239,0.371,0.000,475,3,,,3,60.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,3,27.27%,1,,1,,,,1,,,1,9.09%,1,1,33.33%,,,,,,,,,,,,,,,1,33.33%,1,1,1,33.33%,1,100.00%,1,33.33%,1,33.33%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,
10918,MILAN,SKRINIAR,SKRINIAR M.,11-02-1995,131360,96,1,1,100.00%,,,2,107,1,0.93%,103,96.26%,1,100.00%,1,1.10%,,,91,,,,3,,,,1,33.33%,5,3,60.00%,1,33.33%,1,20.00%,1,100.00%,,,2,,,0.014,0.034,0.356,0.000,0.369,0.021,0.014,0.000,475,6,2,33.33%,2,66.67%,1,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,1,1,100.00%,2,40.00%,2,1,100.00%,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27998,DAVID,STRELEC,STRELEC D.,04-04-2001,131360,36,,,,,,,5,1,20.00%,3,60.00%,,,1,20.00%,1,100.00%,5,1,20.00%,,1,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26389,TOMAS,SUSLOV,SUSLOV T.,07-06-2002,131360,29,,,,,,,6,1,16.67%,6,100.00%,1,100.00%,,,,,7,,,,4,,,,1,25.00%,9,4,44.44%,4,100.00%,5,55.56%,2,40.00%,,,1,,,0.000,0.000,0.256,0.000,0.256,0.000,0.000,0.000,475,1,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,1,33.33%,,,,1,11.11%,1,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15765,DENIS,VAVRO,VAVRO D.,10-04-1996,131360,96,,,,,,8,82,1,1.22%,76,92.68%,1,100.00%,,,,,72,1,1.39%,,2,,,,,,5,3,60.00%,1,33.33%,3,60.00%,2,66.67%,,,2,,,0.000,0.000,0.128,0.000,0.013,0.000,0.000,0.000,475,5,3,60.00%,1,33.33%,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,1,,1,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,1,50.00%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24246,ILLIA,BORYSOVYCH ZABARNYI,ZABARNYI I.,01-09-2002,131360,96,,,,,,3,69,2,2.90%,61,88.41%,,,,,,,56,,,,6,1,,,1,16.67%,5,3,60.00%,,,5,100.00%,3,60.00%,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,6,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,8,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,
38393,VOLODYMYR,BRAZHKO,BRAZHKO V.,23-01-2002,131360,86,1,1,100.00%,,,,38,,,34,89.47%,,,1,2.70%,,,37,,,,5,,,,4,80.00%,9,4,44.44%,1,25.00%,6,66.67%,3,50.00%,,,1,8,160.00%,0.042,0.057,0.000,0.000,0.042,0.015,0.042,0.000,577,2,1,50.00%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,11.11%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396,ARTEM,DOVBYK,DOVBYK A.,21-06-1997,131360,67,1,1,100.00%,1,100.00%,,8,2,25.00%,7,87.50%,1,50.00%,4,30.77%,2,50.00%,13,6,46.15%,,3,,,,,,9,4,44.44%,5,125.00%,5,55.56%,2,40.00%,1,100.00%,1,,,0.174,0.259,0.737,0.000,-0.070,0.085,0.174,0.000,577,1,,,2,50.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,1,11.11%,1,,,,,,,,,,,,,,,,,,,1,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,
14066,RUSLAN,MALINOVSKYI,MALINOVSKYI R.,04-05-1993,131360,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23819,MYKOLA,MATVIENKO,MATVIENKO M.,02-05-1996,131360,96,,,,,,6,79,,,78,98.73%,,,,,,,69,,,1,1,,,,,,5,5,100.00%,,,2,40.00%,2,100.00%,,,1,,,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,577,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,1,20.00%,,,,,,,,,,2,40.00%,2,,,,,,,,,,,,,,,,,1,100.00%,19,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
28011,MYKHAYLO,MUDRYK,MUDRYK M.,05-01-2001,131360,86,3,1,33.33%,2,66.67%,4,19,7,36.84%,15,78.95%,4,57.14%,5,27.78%,1,20.00%,18,2,11.11%,1,3,,,,3,100.00%,7,4,57.14%,,,3,42.86%,2,66.67%,1,100.00%,1,,,0.268,0.104,0.969,0.057,1.080,-0.164,0.268,0.000,577,5,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,2,28.57%,2,,2,2,1,50.00%,,,,,,,,,1,25.00%,,,1,100.00%,,,1,50.00%,,,,,1,50.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
