Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,cutBack,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribbling,inFuorigioco,traversoni,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,interventoNegativo,autogol,thirdPass,ammonizioni,triChiusa,triChiusa_PERC,tiroGolArea,tiroGolArea_PERC,assistVincenti,assistVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,golProcurati,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC
43099,GIORGI,GVELESIANI,GVELESIANI G.,05-05-1991,132290,81,,,,,,,,,,,14,,,9,64.29%,,,,,,,11,,,,,,,,,,,3,,,,2,,,4,2,50.00%,5,3,60.00%,,,1,33.33%,1,20.00%,1,100.00%,,,,,,,3,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,
27391,OTAR,KAKABADZE,KAKABADZE O.,27-06-1995,132290,96,,,,,,,,,,,34,1,2.94%,24,70.59%,,,,,,,27,,,1,,,,,,,1,12,,,,5,,,3,,,16,7,43.75%,,,4,57.14%,4,25.00%,1,25.00%,3,18.75%,1,33.33%,,,4,,,0.000,0.000,0.194,0.000,0.194,0.000,0.000,0.000,461,,,,1,6.25%,1,1,,,4,,1,1,25.00%,,,,,,,6,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50.00%,1,,,,,,,,,,
8256,GURAM,KASHIA,KASHIA G.,04-07-1987,132290,96,,,,,,,,,,,18,,,15,83.33%,,,,,,,13,1,7.69%,2,,,,,,,,3,,,,4,,,2,2,100.00%,9,5,55.56%,,,1,20.00%,3,33.33%,2,66.67%,2,22.22%,2,100.00%,,,4,,,0.000,0.000,0.000,0.000,-0.179,0.000,0.000,0.000,461,,,,1,11.11%,1,1,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,100.00%,,,,,,,2,66.67%,,,,,,,,,,,
37089,OTAR,KITEISHVILI,KITEISHVILI O.,26-03-1996,132290,41,,,,,,,,2,1,50.00%,17,1,5.88%,15,88.24%,1,100.00%,,,,,11,,,,,,,,,,,2,,,,4,,,2,1,50.00%,7,5,71.43%,,,,,,,,,4,57.14%,4,100.00%,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,1,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,
53252,GIORGI,KOCHORASHVILI,KOCHORASHVILI G.,29-06-1999,132290,96,2,1,50.00%,,,,,1,,,28,,,25,89.29%,,,2,7.41%,,,27,,,,,,,,,,,4,,,,5,,,,,,14,11,78.57%,,,1,9.09%,2,14.29%,2,100.00%,6,42.86%,4,66.67%,,,4,,,0.091,0.058,0.000,0.000,-0.030,-0.033,0.091,0.000,461,2,100.00%,,4,28.57%,1,4,1,100.00%,1,,,1,100.00%,,,,,,,3,75.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,100.00%,,,,,,,,,,,
31347,KHVICHA,KVARATSKHELIA,KVARATSKHELIA K.,12-02-2001,132290,96,1,,,,,,,3,,,17,1,5.88%,14,82.35%,1,100.00%,1,6.67%,,,15,,,,3,,,,,,,6,,,,3,,,1,1,100.00%,15,4,26.67%,1,25.00%,9,225.00%,1,6.67%,,,8,53.33%,2,25.00%,,,4,,,0.002,0.000,0.300,0.125,0.302,-0.002,0.002,0.000,461,1,100.00%,,,,,,,,5,,,2,40.00%,,,,,,,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33.33%,,,,,,,,,,,
10098,NIKA,KVEKVESKIRI,KVEKVESKIRI N.,29-05-1992,132290,15,,,,,,,,,,,15,,,13,86.67%,,,,,,,16,,,,,,,,,,,2,1,1,100.00%,,,,1,1,100.00%,4,1,25.00%,,,,,1,25.00%,,,2,50.00%,1,50.00%,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25367,LUKA,LOCHOSHVILI,LOCHOSHVILI L.,29-05-1998,132290,65,,,,,,,,,,,17,,,10,58.82%,,,,,,,14,,,,,,,,,,,8,1,1,100.00%,4,,,1,,,7,5,71.43%,,,1,20.00%,1,14.29%,,,3,42.86%,2,66.67%,,,2,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,2,28.57%,,2,,,,,,,,,,,,,,4,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50.00%,,,,,,,,,,,
42387,GIORGI,MAMARDASHVILI,MAMARDASHVILI G.,29-09-2000,132290,96,,,,,,,,,,,22,,,20,90.91%,,,,,,,4,,,,,,,,,,,1,,,,1,,,,,,2,2,100.00%,,,,,1,50.00%,1,100.00%,,,,,,,4,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,1,50.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,100.00%,17,3,17.65%,4,8,47.06%,4.952,0.952,,,,,,,,9,2,1,13,9,69.23%,6,35.29%,8,88.89%
27393,GEORGES,MIKAUTADZE,MIKAUTADZE G.,31-10-2000,132290,81,,,,,,,,,,,11,1,9.09%,7,63.64%,,,2,11.76%,1,50.00%,17,1,5.88%,,,,,1,,,1,10,,,,,,,1,1,100.00%,12,1,8.33%,1,100.00%,6,600.00%,2,16.67%,,,6,50.00%,1,16.67%,,,3,,,0.000,0.000,0.324,0.000,0.324,0.000,0.000,0.000,461,,,,,,,,,,3,,,,,,,,,,,2,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,40.00%,,,,,,,,,,,
39056,GEORGIY,TSITAISHVILI,TSITAISHVILI G.,18-11-2000,132290,30,1,,,1,100.00%,,,,,,11,,,10,90.91%,,,1,10.00%,,,10,,,,,,,,,,,1,,,,1,,,1,,,2,2,100.00%,,,,,,,,,,,,,,,2,,,0.080,0.000,0.000,0.000,0.080,-0.080,0.080,0.000,461,,,,1,50.00%,,1,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45955,BUDU,ZIVZIVADZE,ZIVZIVADZE B.,10-03-1994,132290,15,,,,,,,,,,,2,,,2,100.00%,,,,,,,3,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,1,100.00%,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
